artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
Casa 24,2025-08-05,5,464,1000,623,29040,94
Chef Lino,2025-08-05,4,256,370,13,207,5
PYRO,2025-08-05,1,200,532,0,0,0
bo.wlie,2025-08-05,0,87,12,94,13743,71
Mango Blade,2025-08-05,1,129,120,0,0,0
ZACKO,2025-08-05,0,7,0,0,0,0
pax,2025-08-05,0,5,3,502,70814,112
ARANDA,2025-08-05,0,103,10,0,0,0
Casa 24Beats,2025-08-05,0,0,N/A,8,524,38
Casa 24,2025-08-06,5,464,1000,623,29050,94
Chef Lino,2025-08-06,4,256,362,13,207,5
PYRO,2025-08-06,1,200,532,0,0,0
bo.wlie,2025-08-06,0,87,11,94,13746,71
Mango Blade,2025-08-06,1,129,116,0,0,0
ZACKO,2025-08-06,0,7,0,0,0,0
pax,2025-08-06,0,5,3,502,70843,112
ARANDA,2025-08-06,0,103,10,0,0,0
Casa 24Beats,2025-08-06,0,0,N/A,8,554,42
Casa 24,2025-08-07,5,464,1000,623,29052,94
Chef Lino,2025-08-07,4,256,360,13,207,5
PYRO,2025-08-07,1,200,531,0,0,0
bo.wlie,2025-08-07,0,87,11,94,13748,71
Mango Blade,2025-08-07,1,129,117,0,0,0
ZACKO,2025-08-07,0,7,0,0,0,0
pax,2025-08-07,0,5,3,502,70869,112
ARANDA,2025-08-07,0,103,10,0,0,0
Casa 24Beats,2025-08-07,0,0,N/A,8,568,46
Casa 24,2025-08-08,5,464,1000,623,29056,94
Chef Lino,2025-08-08,4,256,366,13,207,5
PYRO,2025-08-08,1,200,532,0,0,0
bo.wlie,2025-08-08,0,87,9,94,13748,71
Mango Blade,2025-08-08,1,129,117,0,0,0
ZACKO,2025-08-08,0,7,0,0,0,0
pax,2025-08-08,0,5,3,502,70883,112
ARANDA,2025-08-08,0,103,9,0,0,0
Casa 24Beats,2025-08-08,0,0,N/A,9,587,50
